# Battino yields
# Model: m3z1m2
# Set: set1.1
# Mini: 3.00
# Mfinal: 0.6506723377523342
# Created by Daniel Boyea on 2024-10-30
isotope       mass_yield     X0      
Neutron-1      2.3798e-30     1.0000e-99
H-1            1.5993e+00     7.2901e-01
H-2            3.8116e-06     1.4143e-05
He-3           3.2535e-04     4.3313e-05
He-4           6.8091e-01     2.6093e-01
Be-7           1.1401e-10     1.0000e-99
B-8            3.5544e-19     1.0000e-99
Li-7           1.6226e-11     3.8025e-11
C-11           1.8554e-26     1.0000e-99
B-11           3.3547e-09     1.4279e-09
C-12           3.1725e-02     1.7124e-03
C-13           1.1315e-04     2.0781e-05
N-13           9.9522e-12     1.0000e-99
N-14           3.8346e-03     5.2940e-04
C-14           8.2640e-08     1.0000e-99
N-15           2.1048e-06     2.0854e-06
O-16           2.4176e-02     4.8122e-03
O-17           2.4467e-05     1.9065e-06
O-18           1.6891e-05     1.0855e-05
F-17           7.9705e-15     1.0000e-99
F-18           1.0871e-14     1.0000e-99
F-19           3.5150e-06     2.8055e-07
Ne-20          2.1889e-03     9.0887e-04
Ne-21          7.4746e-06     2.2876e-06
Ne-22          1.8213e-03     7.3512e-05
Na-22          5.5710e-11     1.0000e-99
Na-23          7.9238e-05     1.9998e-05
Mg-23          8.2506e-19     1.0000e-99
Mg-24          7.0143e-04     2.9312e-04
Mg-25          1.8142e-04     3.8665e-05
Mg-26          3.0223e-04     4.4240e-05
Al-26          7.9640e-08     1.0000e-99
Al-27          7.9952e-05     3.2405e-05
Si-27          7.0673e-20     1.0000e-99
Si-28          8.7476e-04     3.7263e-04
Si-29          4.7163e-05     1.9597e-05
Si-30          3.5544e-05     1.3364e-05
P-31           9.1597e-06     3.5532e-06
S-31           2.3494e-99     1.0000e-99
Be-8           2.3494e-99     1.0000e-99
O-14           1.5715e-18     1.0000e-99
O-15           2.3232e-12     1.0000e-99
Na-21          1.3934e-17     1.0000e-99
Al-25          5.4560e-19     1.0000e-99
P-29           2.4331e-24     1.0000e-99
P-30           4.2593e-20     1.0000e-99
Pb-206         4.8835e-08     1.3989e-09
Pb-207         5.6519e-08     1.5448e-09
Bi-211         1.6309e-30     1.0000e-99
Po-210         2.3494e-99     1.0000e-99
F-20           4.6538e-32     1.0000e-99
Ne-19          1.9917e-22     1.0000e-99
Na-24          6.8092e-22     1.0000e-99
Mg-27          2.3053e-26     1.0000e-99
Mg-28          2.3494e-99     1.0000e-99
Al-28          4.6164e-25     1.0000e-99
Al-29          2.3494e-99     1.0000e-99
Si-31          8.1495e-24     1.0000e-99
Si-32          9.7769e-11     1.0000e-99
P-32           2.2198e-14     1.0000e-99
P-33           1.0876e-24     1.0000e-99
P-34           2.3494e-99     1.0000e-99
P-35           2.3494e-99     1.0000e-99
S-32           4.6742e-04     2.0054e-04
S-33           4.0178e-06     1.6324e-06
S-34           2.3203e-05     9.4521e-06
S-35           1.3767e-22     1.0000e-99
S-36           2.2088e-07     4.0365e-08
S-37           4.5387e-29     1.0000e-99
S-38           2.3494e-99     1.0000e-99
Cl-34          8.3746e-26     1.0000e-99
Cl-35          7.8913e-06     3.4105e-06
Cl-36          1.3808e-08     1.0000e-99
Cl-37          3.3433e-06     1.1529e-06
Cl-38          6.6115e-26     1.0000e-99
Cl-39          2.3494e-99     1.0000e-99
Cl-40          2.3494e-99     1.0000e-99
Ar-35          2.3494e-99     1.0000e-99
Ar-36          9.4802e-05     4.1011e-05
Ar-37          3.1132e-10     1.0000e-99
Ar-38          1.9149e-05     7.8707e-06
Ar-39          5.3176e-08     1.0000e-99
Ar-40          8.0137e-08     1.3251e-08
Ar-41          3.4497e-27     1.0000e-99
Ar-42          5.6265e-14     1.0000e-99
Ar-43          2.3494e-99     1.0000e-99
Ar-44          2.3494e-99     1.0000e-99
K-38           2.2238e-30     1.0000e-99
K-39           4.6249e-06     1.9499e-06
K-40           2.6644e-08     2.5026e-10
K-41           3.8147e-07     1.4793e-07
K-42           2.4618e-18     1.0000e-99
K-43           2.3494e-99     1.0000e-99
K-44           2.3494e-99     1.0000e-99
K-45           2.3494e-99     1.0000e-99
K-46           2.3494e-99     1.0000e-99
Ca-39          2.3494e-99     1.0000e-99
Ca-40          8.3839e-05     3.6126e-05
Ca-41          2.6707e-08     1.0000e-99
Ca-42          6.5945e-07     2.5317e-07
Ca-43          1.4381e-07     5.4082e-08
Ca-44          2.0343e-06     8.5511e-07
Ca-45          4.6215e-22     1.0000e-99
Ca-46          8.9071e-09     1.7142e-09
Ca-47          4.8221e-26     1.0000e-99
Ca-48          1.9598e-07     8.3625e-08
Ca-49          3.2562e-28     1.0000e-99
Sc-43          1.1848e-24     1.0000e-99
Sc-44          1.6080e-25     1.0000e-99
Sc-45          7.7875e-08     2.7069e-08
Sc-46          1.7628e-22     1.0000e-99
Sc-47          1.7029e-25     1.0000e-99
Sc-48          2.3494e-99     1.0000e-99
Sc-49          2.6294e-26     1.0000e-99
Sc-50          2.3494e-99     1.0000e-99
Ti-44          6.0959e-23     1.0000e-99
Ti-45          2.3494e-99     1.0000e-99
Ti-46          3.8626e-07     1.6159e-07
Ti-47          3.4660e-07     1.4885e-07
Ti-48          3.4583e-06     1.5069e-06
Ti-49          3.0897e-07     1.1287e-07
Ti-50          3.4790e-07     1.1040e-07
Ti-51          4.0853e-28     1.0000e-99
Ti-52          2.3494e-99     1.0000e-99
V-47           6.3023e-28     1.0000e-99
V-48           5.3885e-25     1.0000e-99
V-49           2.7849e-18     1.0000e-99
V-50           1.1572e-09     5.0774e-10
V-51           4.8172e-07     2.0689e-07
V-52           3.9296e-26     1.0000e-99
V-53           2.3494e-99     1.0000e-99
Cr-48          2.3494e-99     1.0000e-99
Cr-49          2.3494e-99     1.0000e-99
Cr-50          9.4177e-07     4.1327e-07
Cr-51          1.0744e-11     1.0000e-99
Cr-52          1.9229e-05     8.2879e-06
Cr-53          2.2295e-06     9.5781e-07
Cr-54          7.8393e-07     2.4290e-07
Cr-55          4.3505e-27     1.0000e-99
Cr-56          2.3494e-99     1.0000e-99
Mn-51          1.7511e-29     1.0000e-99
Mn-52          2.3494e-99     1.0000e-99
Mn-53          4.4981e-18     1.0000e-99
Mn-54          2.3724e-18     1.0000e-99
Mn-55          1.2685e-05     5.4905e-06
Mn-56          3.9116e-23     1.0000e-99
Mn-57          2.3494e-99     1.0000e-99
Fe-52          2.3494e-99     1.0000e-99
Fe-53          2.3494e-99     1.0000e-99
Fe-54          9.2761e-05     4.0591e-05
Fe-55          2.4200e-07     1.0000e-99
Fe-56          1.5281e-03     6.6079e-04
Fe-57          4.1393e-05     1.5533e-05
Fe-58          1.6347e-05     2.1034e-06
Fe-59          3.5490e-21     1.0000e-99
Fe-60          5.0118e-07     1.0000e-99
Fe-61          1.6818e-27     1.0000e-99
Co-55          6.0914e-28     1.0000e-99
Co-56          2.4227e-28     1.0000e-99
Co-57          1.6810e-17     1.0000e-99
Co-58          1.3501e-25     1.0000e-99
Co-59          7.5812e-06     1.9957e-06
Co-60          3.1962e-13     1.0000e-99
Co-61          3.8003e-26     1.0000e-99
Co-62          2.3494e-99     1.0000e-99
Co-63          2.3494e-99     1.0000e-99
Ni-56          2.3494e-99     1.0000e-99
Ni-57          2.3494e-99     1.0000e-99
Ni-58          6.5263e-05     2.8555e-05
Ni-59          1.4803e-07     1.0000e-99
Ni-60          2.8445e-05     1.1379e-05
Ni-61          2.2713e-06     5.0286e-07
Ni-62          6.3788e-06     1.6296e-06
Ni-63          2.4710e-07     1.0000e-99
Ni-64          2.9101e-06     4.2841e-07
Ni-65          5.8562e-25     1.0000e-99
Ni-66          2.3494e-99     1.0000e-99
Ni-67          2.3494e-99     1.0000e-99
Ni-68          2.3494e-99     1.0000e-99
Cu-60          2.3494e-99     1.0000e-99
Cu-61          6.0226e-31     1.0000e-99
Cu-62          2.3494e-99     1.0000e-99
Cu-63          1.4280e-06     3.3002e-07
Cu-64          4.9341e-23     1.0000e-99
Cu-65          8.9099e-07     1.5173e-07
Cu-66          5.8443e-26     1.0000e-99
Cu-67          2.3494e-99     1.0000e-99
Cu-68          2.3494e-99     1.0000e-99
Cu-69          2.3494e-99     1.0000e-99
Cu-70          2.3494e-99     1.0000e-99
Cu-71          2.3494e-99     1.0000e-99
Zn-62          2.3494e-99     1.0000e-99
Zn-63          2.3494e-99     1.0000e-99
Zn-64          1.4404e-06     5.6538e-07
Zn-65          2.6212e-09     1.0000e-99
Zn-66          1.2462e-06     3.3450e-07
Zn-67          2.1879e-07     4.9901e-08
Zn-68          1.0342e-06     2.3161e-07
Zn-69          6.0888e-25     1.0000e-99
Zn-70          1.9054e-08     7.8839e-09
Zn-71          2.3744e-28     1.0000e-99
Zn-72          2.3494e-99     1.0000e-99
Zn-73          2.3494e-99     1.0000e-99
Zn-74          2.3494e-99     1.0000e-99
Ga-65          2.3494e-99     1.0000e-99
Ga-66          2.3494e-99     1.0000e-99
Ga-67          2.3494e-99     1.0000e-99
Ga-68          2.3494e-99     1.0000e-99
Ga-69          1.1976e-07     2.2753e-08
Ga-70          1.0039e-25     1.0000e-99
Ga-71          7.9308e-08     1.5538e-08
Ga-72          3.0023e-24     1.0000e-99
Ga-73          2.3494e-99     1.0000e-99
Ga-74          2.3494e-99     1.0000e-99
Ga-75          2.3494e-99     1.0000e-99
Ge-66          2.3494e-99     1.0000e-99
Ge-67          2.3494e-99     1.0000e-99
Ge-68          2.3494e-99     1.0000e-99
Ge-69          2.3494e-99     1.0000e-99
Ge-70          1.5226e-07     2.5786e-08
Ge-71          2.0427e-22     1.0000e-99
Ge-72          1.6165e-07     3.4552e-08
Ge-73          4.6641e-08     9.7729e-09
Ge-74          2.3143e-07     4.6142e-08
Ge-75          2.4231e-25     1.0000e-99
Ge-76          2.3378e-08     9.8146e-09
Ge-77          8.3168e-26     1.0000e-99
Ge-78          2.3494e-99     1.0000e-99
As-69          2.3494e-99     1.0000e-99
As-70          2.3494e-99     1.0000e-99
As-71          2.3494e-99     1.0000e-99
As-72          2.3494e-99     1.0000e-99
As-73          2.3494e-99     1.0000e-99
As-74          4.6981e-24     1.0000e-99
As-75          2.8848e-08     7.1501e-09
As-76          3.5122e-24     1.0000e-99
As-77          2.8504e-25     1.0000e-99
As-78          2.3494e-99     1.0000e-99
As-79          2.3494e-99     1.0000e-99
As-80          2.3494e-99     1.0000e-99
As-81          2.3494e-99     1.0000e-99
Se-72          2.3494e-99     1.0000e-99
Se-73          2.3494e-99     1.0000e-99
Se-74          1.3607e-09     5.9894e-10
Se-75          3.5445e-23     1.0000e-99
Se-76          4.1399e-08     6.4807e-09
Se-77          2.2407e-08     5.3525e-09
Se-78          9.5310e-08     1.6882e-08
Se-79          9.8416e-09     1.0000e-99
Se-80          1.3392e-07     3.6131e-08
Se-81          3.1742e-26     1.0000e-99
Se-82          1.5171e-08     6.5182e-09
Se-83          7.5613e-28     1.0000e-99
Se-84          2.3494e-99     1.0000e-99
Br-74          2.3494e-99     1.0000e-99
Br-75          2.3494e-99     1.0000e-99
Br-76          2.3494e-99     1.0000e-99
Br-77          2.3494e-99     1.0000e-99
Br-78          2.3494e-99     1.0000e-99
Br-79          1.7615e-08     6.9465e-09
Br-80          5.2308e-26     1.0000e-99
Br-81          2.4556e-08     6.9296e-09
Br-82          3.9598e-24     1.0000e-99
Br-83          4.8163e-27     1.0000e-99
Br-84          2.3494e-99     1.0000e-99
Br-85          2.3494e-99     1.0000e-99
Br-86          2.3494e-99     1.0000e-99
Br-87          2.3494e-99     1.0000e-99
Kr-76          2.3494e-99     1.0000e-99
Kr-77          2.3494e-99     1.0000e-99
Kr-78          4.4301e-10     1.9501e-10
Kr-79          5.7821e-26     1.0000e-99
Kr-80          3.8487e-09     1.2874e-09
Kr-81          2.9096e-10     1.0000e-99
Kr-82          3.4947e-08     6.5977e-09
Kr-83          2.2029e-08     6.6208e-09
Kr-84          1.1976e-07     3.3010e-08
Kr-85          3.7477e-12     1.0000e-99
Kr-86          4.8911e-08     1.0222e-08
Kr-87          1.3296e-27     1.0000e-99
Kr-88          2.3494e-99     1.0000e-99
Kr-89          2.3494e-99     1.0000e-99
Kr-90          2.3494e-99     1.0000e-99
Rb-79          2.3494e-99     1.0000e-99
Rb-80          2.3494e-99     1.0000e-99
Rb-81          2.3494e-99     1.0000e-99
Rb-82          2.3494e-99     1.0000e-99
Rb-83          2.3494e-99     1.0000e-99
Rb-84          1.3832e-26     1.0000e-99
Rb-85          2.8346e-08     6.4121e-09
Rb-86          3.7773e-23     1.0000e-99
Rb-87          1.7381e-08     2.5314e-09
Rb-88          1.3062e-27     1.0000e-99
Rb-89          2.3494e-99     1.0000e-99
Rb-90          2.3494e-99     1.0000e-99
Rb-91          2.3494e-99     1.0000e-99
Sr-80          2.3494e-99     1.0000e-99
Sr-81          2.3494e-99     1.0000e-99
Sr-82          2.3494e-99     1.0000e-99
Sr-83          2.3494e-99     1.0000e-99
Sr-84          3.6665e-10     1.6140e-10
Sr-85          4.8714e-24     1.0000e-99
Sr-86          1.6768e-08     2.9223e-09
Sr-87          1.0964e-08     2.2216e-09
Sr-88          1.5750e-07     2.5054e-08
Sr-89          1.4588e-23     1.0000e-99
Sr-90          2.8868e-11     1.0000e-99
Sr-91          2.3494e-99     1.0000e-99
Sr-92          2.3494e-99     1.0000e-99
Sr-93          2.3494e-99     1.0000e-99
Sr-94          2.3494e-99     1.0000e-99
Y-85           2.3494e-99     1.0000e-99
Y-86           2.3494e-99     1.0000e-99
Y-87           2.3494e-99     1.0000e-99
Y-88           2.3494e-99     1.0000e-99
Y-89           4.3125e-08     6.1467e-09
Y-90           7.3439e-15     1.0000e-99
Y-91           2.3494e-99     1.0000e-99
Y-92           2.3494e-99     1.0000e-99
Y-93           2.3494e-99     1.0000e-99
Y-94           2.3494e-99     1.0000e-99
