# Battino yields
# Model: m3z2m2
# Set: set1.2
# Mini: 3.00
# Mfinal: 0.6557181605296707
# Created by Daniel Boyea on 2024-10-30
isotope       mass_yield     X0      
Neutron-1      4.6943e-30     1.0000e-99
H-1            1.5413e+00     7.0644e-01
H-2            6.1017e-06     1.3705e-05
He-3           3.2730e-04     4.5400e-05
He-4           7.1112e-01     2.7350e-01
Be-7           1.4760e-10     1.0000e-99
B-8            3.9732e-19     1.0000e-99
Li-7           3.7331e-11     7.6051e-11
C-11           3.6708e-26     1.0000e-99
B-11           6.6950e-09     2.8559e-09
C-12           3.5068e-02     3.4247e-03
C-13           2.2790e-04     4.1561e-05
N-13           1.0442e-11     1.0000e-99
N-14           7.2008e-03     1.0588e-03
C-14           6.8045e-08     1.0000e-99
N-15           4.3961e-06     4.1707e-06
O-16           3.2327e-02     9.6244e-03
O-17           6.4809e-05     3.8131e-06
O-18           3.4690e-05     2.1711e-05
F-17           1.0049e-14     1.0000e-99
F-18           1.3677e-14     1.0000e-99
F-19           5.1162e-06     5.6110e-07
Ne-20          4.2920e-03     1.8177e-03
Ne-21          1.2993e-05     4.5753e-06
Ne-22          2.8079e-03     1.4702e-04
Na-22          9.9600e-11     1.0000e-99
Na-23          1.5318e-04     3.9995e-05
Mg-23          1.7940e-18     1.0000e-99
Mg-24          1.3940e-03     5.8624e-04
Mg-25          3.0679e-04     7.7331e-05
Mg-26          4.6986e-04     8.8480e-05
Al-26          1.9085e-07     1.0000e-99
Al-27          1.5681e-04     6.4811e-05
Si-27          1.0384e-19     1.0000e-99
Si-28          1.7455e-03     7.4527e-04
Si-29          9.3698e-05     3.9194e-05
Si-30          6.9063e-05     2.6728e-05
P-31           1.7757e-05     7.1063e-06
S-31           2.3446e-99     1.0000e-99
Be-8           2.3446e-99     1.0000e-99
O-14           2.0717e-18     1.0000e-99
O-15           2.4356e-12     1.0000e-99
Na-21          2.5507e-17     1.0000e-99
Al-25          1.0818e-18     1.0000e-99
P-29           5.0042e-24     1.0000e-99
P-30           8.5124e-20     1.0000e-99
Pb-206         2.0368e-08     2.7977e-09
Pb-207         1.7839e-08     3.0897e-09
Bi-211         2.7844e-31     1.0000e-99
Po-210         2.3446e-99     1.0000e-99
F-20           2.1757e-31     1.0000e-99
Ne-19          3.1374e-22     1.0000e-99
Na-24          1.7140e-21     1.0000e-99
Mg-27          6.4537e-26     1.0000e-99
Mg-28          2.3446e-99     1.0000e-99
Al-28          1.3469e-24     1.0000e-99
Al-29          2.3446e-99     1.0000e-99
Si-31          2.9469e-23     1.0000e-99
Si-32          1.0633e-10     1.0000e-99
P-32           2.4141e-14     1.0000e-99
P-33           8.1810e-23     1.0000e-99
P-34           2.3446e-99     1.0000e-99
P-35           2.3446e-99     1.0000e-99
S-32           9.3435e-04     4.0109e-04
S-33           8.0485e-06     3.2648e-06
S-34           4.5961e-05     1.8904e-05
S-35           5.1934e-22     1.0000e-99
S-36           3.8618e-07     8.0730e-08
S-37           1.4158e-28     1.0000e-99
S-38           2.3446e-99     1.0000e-99
Cl-34          2.0166e-25     1.0000e-99
Cl-35          1.5786e-05     6.8211e-06
Cl-36          3.0578e-08     1.0000e-99
Cl-37          6.4729e-06     2.3058e-06
Cl-38          2.3696e-25     1.0000e-99
Cl-39          2.3446e-99     1.0000e-99
Cl-40          2.3446e-99     1.0000e-99
Ar-35          2.3446e-99     1.0000e-99
Ar-36          1.8972e-04     8.2022e-05
Ar-37          6.2028e-10     1.0000e-99
Ar-38          3.7977e-05     1.5741e-05
Ar-39          7.0683e-08     1.0000e-99
Ar-40          1.2584e-07     2.6502e-08
Ar-41          9.4980e-27     1.0000e-99
Ar-42          4.2213e-14     1.0000e-99
Ar-43          2.3446e-99     1.0000e-99
Ar-44          2.3446e-99     1.0000e-99
K-38           9.2796e-30     1.0000e-99
K-39           9.2104e-06     3.8997e-06
K-40           5.0380e-08     5.0051e-10
K-41           7.5119e-07     2.9587e-07
K-42           1.8470e-18     1.0000e-99
K-43           2.3446e-99     1.0000e-99
K-44           2.3446e-99     1.0000e-99
K-45           2.3446e-99     1.0000e-99
K-46           2.3446e-99     1.0000e-99
Ca-39          2.3446e-99     1.0000e-99
Ca-40          1.6771e-04     7.2252e-05
Ca-41          5.9933e-08     1.0000e-99
Ca-42          1.2952e-06     5.0633e-07
Ca-43          2.8008e-07     1.0816e-07
Ca-44          4.0397e-06     1.7102e-06
Ca-45          1.7532e-21     1.0000e-99
Ca-46          1.3830e-08     3.4285e-09
Ca-47          1.3172e-25     1.0000e-99
Ca-48          3.9134e-07     1.6725e-07
Ca-49          1.2388e-27     1.0000e-99
Sc-43          2.5501e-24     1.0000e-99
Sc-44          3.4241e-25     1.0000e-99
Sc-45          1.4935e-07     5.4137e-08
Sc-46          6.2325e-22     1.0000e-99
Sc-47          3.1274e-25     1.0000e-99
Sc-48          2.3446e-99     1.0000e-99
Sc-49          6.1950e-26     1.0000e-99
Sc-50          2.3446e-99     1.0000e-99
Ti-44          1.0870e-22     1.0000e-99
Ti-45          2.3446e-99     1.0000e-99
Ti-46          7.6742e-07     3.2318e-07
Ti-47          6.9059e-07     2.9770e-07
Ti-48          6.9142e-06     3.0138e-06
Ti-49          6.1844e-07     2.2573e-07
Ti-50          6.5662e-07     2.2080e-07
Ti-51          1.4223e-27     1.0000e-99
Ti-52          2.3446e-99     1.0000e-99
V-47           1.4194e-27     1.0000e-99
V-48           1.2233e-24     1.0000e-99
V-49           7.4685e-18     1.0000e-99
V-50           2.3137e-09     1.0155e-09
V-51           9.6349e-07     4.1378e-07
V-52           1.4977e-25     1.0000e-99
V-53           2.3446e-99     1.0000e-99
Cr-48          2.3446e-99     1.0000e-99
Cr-49          2.3446e-99     1.0000e-99
Cr-50          1.8830e-06     8.2654e-07
Cr-51          2.4766e-11     1.0000e-99
Cr-52          3.8465e-05     1.6576e-05
Cr-53          4.4586e-06     1.9156e-06
Cr-54          1.5111e-06     4.8579e-07
Cr-55          1.5514e-26     1.0000e-99
Cr-56          2.3446e-99     1.0000e-99
Mn-51          4.0859e-29     1.0000e-99
Mn-52          2.3446e-99     1.0000e-99
Mn-53          1.2148e-17     1.0000e-99
Mn-54          5.5298e-18     1.0000e-99
Mn-55          2.5519e-05     1.0981e-05
Mn-56          1.4828e-22     1.0000e-99
Mn-57          2.3446e-99     1.0000e-99
Fe-52          2.3446e-99     1.0000e-99
Fe-53          2.3446e-99     1.0000e-99
