# Battino yields
# Model: m2z2m2
# Set: set1.2
# Mini: 2.0
# Mfinal: 0.6455396481324011
# Created by Daniel Boyea on 2024-10-30
isotope       mass_yield     X0      
Neutron-1      2.6810e-30     1.0000e-99
H-1            9.1314e-01     7.0644e-01
H-2            4.8972e-06     1.3705e-05
He-3           3.8017e-04     4.5400e-05
He-4           3.9836e-01     2.7350e-01
Be-7           1.3595e-10     1.0000e-99
B-8            4.0345e-19     1.0000e-99
Li-7           3.0229e-11     7.6051e-11
C-11           7.6865e-27     1.0000e-99
B-11           3.8682e-09     2.8559e-09
C-12           1.3696e-02     3.4247e-03
C-13           1.3439e-04     4.1561e-05
N-13           9.5055e-12     1.0000e-99
N-14           3.5357e-03     1.0588e-03
C-14           1.5943e-08     1.0000e-99
N-15           2.7480e-06     4.1707e-06
O-16           1.6458e-02     9.6244e-03
O-17           5.3357e-05     3.8131e-06
O-18           2.1291e-05     2.1711e-05
F-17           7.7395e-15     1.0000e-99
F-18           1.0548e-14     1.0000e-99
F-19           1.6473e-06     5.6110e-07
Ne-20          2.4660e-03     1.8177e-03
Ne-21          6.5110e-06     4.5753e-06
Ne-22          8.8757e-04     1.4702e-04
Na-22          1.1162e-10     1.0000e-99
Na-23          7.2310e-05     3.9995e-05
Mg-23          1.9263e-18     1.0000e-99
Mg-24          7.9973e-04     5.8624e-04
Mg-25          1.2785e-04     7.7331e-05
Mg-26          1.6513e-04     8.8480e-05
Al-26          1.7365e-07     1.0000e-99
Al-27          8.9135e-05     6.4811e-05
Si-27          8.4628e-20     1.0000e-99
Si-28          1.0090e-03     7.4527e-04
Si-29          5.3517e-05     3.9194e-05
Si-30          3.7654e-05     2.6728e-05
P-31           9.8183e-06     7.1063e-06
S-31           1.3548e-99     1.0000e-99
Be-8           1.3548e-99     1.0000e-99
O-14           1.5343e-18     1.0000e-99
O-15           2.2250e-12     1.0000e-99
Na-21          2.8751e-17     1.0000e-99
Al-25          7.4183e-19     1.0000e-99
P-29           5.3058e-24     1.0000e-99
P-30           9.1577e-20     1.0000e-99
Pb-206         5.4085e-09     2.7977e-09
Pb-207         5.2779e-09     3.0897e-09
Bi-211         1.9085e-32     1.0000e-99
Po-210         1.3548e-99     1.0000e-99
F-20           3.6378e-32     1.0000e-99
Ne-19          1.8923e-22     1.0000e-99
Na-24          6.7254e-22     1.0000e-99
Mg-27          2.2068e-26     1.0000e-99
Mg-28          1.3548e-99     1.0000e-99
Al-28          7.3102e-25     1.0000e-99
Al-29          1.3548e-99     1.0000e-99
Si-31          1.7323e-23     1.0000e-99
Si-32          5.9145e-12     1.0000e-99
P-32           1.3429e-15     1.0000e-99
P-33           3.0133e-24     1.0000e-99
P-34           1.3548e-99     1.0000e-99
P-35           1.3548e-99     1.0000e-99
S-32           5.4186e-04     4.0109e-04
S-33           4.5548e-06     3.2648e-06
S-34           2.5989e-05     1.8904e-05
S-35           3.1790e-22     1.0000e-99
S-36           1.5565e-07     8.0730e-08
S-37           5.7852e-29     1.0000e-99
S-38           1.3548e-99     1.0000e-99
Cl-34          1.6370e-25     1.0000e-99
Cl-35          9.1844e-06     6.8211e-06
Cl-36          1.0931e-08     1.0000e-99
Cl-37          3.4355e-06     2.3058e-06
Cl-38          1.3406e-25     1.0000e-99
Cl-39          1.3548e-99     1.0000e-99
Cl-40          1.3548e-99     1.0000e-99
