# Battino yields
# Model: m2z1m2
# Set: set1.1
# Mini: 2.00
# Mfinal: 0.6319390741093354
# Created by Daniel Boyea on 2024-10-30
isotope       mass_yield     X0      
Neutron-1      1.1057e-30     1.0000e-99
H-1            9.4856e-01     7.2901e-01
H-2            4.8369e-06     1.4143e-05
He-3           3.7393e-04     4.3313e-05
He-4           3.8739e-01     2.6093e-01
Be-7           1.0856e-10     1.0000e-99
B-8            3.1962e-19     1.0000e-99
Li-7           1.5726e-11     3.8025e-11
C-11           2.0514e-27     1.0000e-99
B-11           1.9535e-09     1.4279e-09
C-12           1.3334e-02     1.7124e-03
C-13           6.7017e-05     2.0781e-05
N-13           8.0787e-12     1.0000e-99
N-14           1.9059e-03     5.2940e-04
C-14           1.8187e-08     1.0000e-99
N-15           1.3399e-06     2.0854e-06
O-16           1.1787e-02     4.8122e-03
O-17           2.2191e-05     1.9065e-06
O-18           1.0467e-05     1.0855e-05
F-17           4.8688e-15     1.0000e-99
F-18           6.6361e-15     1.0000e-99
F-19           1.1854e-06     2.8055e-07
Ne-20          1.2538e-03     9.0887e-04
Ne-21          3.4454e-06     2.2876e-06
Ne-22          6.4432e-04     7.3512e-05
Na-22          5.7286e-11     1.0000e-99
Na-23          3.8926e-05     1.9998e-05
Mg-23          8.9743e-19     1.0000e-99
Mg-24          4.0598e-04     2.9312e-04
Mg-25          6.9281e-05     3.8665e-05
Mg-26          9.3683e-05     4.4240e-05
Al-26          8.6823e-08     1.0000e-99
Al-27          4.5379e-05     3.2405e-05
Si-27          4.5448e-20     1.0000e-99
Si-28          5.0958e-04     3.7263e-04
Si-29          2.7089e-05     1.9597e-05
Si-30          1.9328e-05     1.3364e-05
P-31           5.0452e-06     3.5532e-06
S-31           1.3681e-99     1.0000e-99
Be-8           1.3681e-99     1.0000e-99
O-14           1.0656e-18     1.0000e-99
O-15           1.8916e-12     1.0000e-99
Na-21          1.4673e-17     1.0000e-99
Al-25          3.0679e-19     1.0000e-99
P-29           2.4344e-24     1.0000e-99
P-30           4.3168e-20     1.0000e-99
Pb-206         1.1808e-08     1.3989e-09
Pb-207         1.1712e-08     1.5448e-09
