# Battino yields
# Model: m3z1m3
# Set: set1.01
# Mini: 3.00
# Mfinal: 0.8317663353165653
# Created by Daniel Boyea on 2024-12-04
isotope       mass_yield     X0      
Neutron-1      4.0761e-29     1.0000e-99
H-1            1.5686e+00     7.4933e-01
H-2            1.0093e-06     1.4537e-05
He-3           2.7676e-04     4.1436e-05
He-4           5.9091e-01     2.4962e-01
Be-7           5.8046e-08     1.0000e-99
B-8            1.2113e-14     1.0000e-99
Li-7           1.8068e-10     7.7736e-10
C-11           1.3628e-19     1.0000e-99
B-11           6.1978e-11     2.8585e-11
C-12           4.6810e-03     1.2503e-04
C-13           5.1983e-04     4.1599e-07
N-13           5.5281e-09     1.0000e-99
N-14           7.3311e-04     1.0598e-05
C-14           3.7965e-08     1.0000e-99
N-15           4.7011e-08     4.1745e-08
O-16           2.0428e-03     7.4090e-04
O-17           5.1925e-06     3.8165e-08
O-18           2.9663e-07     2.1730e-07
F-17           2.7190e-13     1.0000e-99
F-18           3.8389e-13     1.0000e-99
F-19           9.2566e-07     5.6160e-09
Ne-20          1.2722e-04     5.7533e-05
Ne-21          2.9391e-07     4.5794e-08
Ne-22          1.6484e-04     1.4716e-06
Na-22          1.6223e-08     1.0000e-99
Na-23          2.4110e-06     4.0031e-07
Mg-23          2.7556e-18     1.0000e-99
Mg-24          3.3346e-05     1.5117e-05
Mg-25          2.3789e-06     7.7400e-07
Mg-26          3.6997e-06     8.8560e-07
Al-26          2.1099e-09     1.0000e-99
Al-27          1.7731e-06     6.4869e-07
Si-27          2.0679e-22     1.0000e-99
Si-28          3.3319e-05     1.5125e-05
Si-29          8.8099e-07     3.9229e-07
Si-30          6.3745e-07     2.6752e-07
P-31           2.3188e-07     7.1127e-08
S-31           2.1683e-99     1.0000e-99
Be-8           2.1683e-99     1.0000e-99
O-14           4.0199e-15     1.0000e-99
O-15           8.8152e-12     1.0000e-99
Na-21          1.2087e-17     1.0000e-99
Al-25          8.1124e-18     1.0000e-99
P-29           2.0464e-24     1.0000e-99
P-30           1.8505e-20     1.0000e-99
Pb-206         2.8730e-09     2.8002e-11
Pb-207         4.6282e-09     3.0924e-11
Bi-211         5.9616e-27     1.0000e-99
Po-210         2.1683e-99     1.0000e-99
F-20           1.4735e-25     1.0000e-99
Ne-19          1.7707e-20     1.0000e-99
Na-24          5.3489e-17     1.0000e-99
Mg-27          8.1449e-25     1.0000e-99
Mg-28          2.9360e-25     1.0000e-99
Al-28          3.6996e-24     1.0000e-99
Al-29          5.2087e-33     1.0000e-99
Si-31          1.0302e-20     1.0000e-99
Si-32          4.9174e-12     1.0000e-99
P-32           4.3971e-15     1.0000e-99
P-33           4.3386e-17     1.0000e-99
P-34           3.7276e-35     1.0000e-99
P-35           2.1683e-99     1.0000e-99
S-32           2.3674e-05     1.0930e-05
S-33           7.6502e-08     3.2677e-08
S-34           4.2386e-07     1.8921e-07
S-35           3.7282e-16     1.0000e-99
S-36           4.2290e-09     8.0802e-10
S-37           1.3937e-27     1.0000e-99
S-38           2.0561e-34     1.0000e-99
Cl-34          1.0647e-24     1.0000e-99
Cl-35          1.4744e-07     6.8272e-08
Cl-36          1.2039e-10     1.0000e-99
Cl-37          5.5705e-08     2.3079e-08
Cl-38          3.3396e-24     1.0000e-99
Cl-39          5.1961e-31     1.0000e-99
Cl-40          4.3859e-46     1.0000e-99
Ar-35          2.1683e-99     1.0000e-99
Ar-36          3.5345e-06     1.6380e-06
Ar-37          6.5112e-11     1.0000e-99
Ar-38          3.4651e-07     1.5756e-07
Ar-39          4.6732e-10     1.0000e-99
Ar-40          1.6516e-09     2.6526e-10
Ar-41          1.2094e-23     1.0000e-99
Ar-42          5.6326e-15     1.0000e-99
Ar-43          1.9497e-32     1.0000e-99
Ar-44          8.1845e-50     1.0000e-99
K-38           3.8537e-25     1.0000e-99
K-39           8.4769e-08     3.9032e-08
K-40           1.7961e-10     5.0096e-12
K-41           6.6644e-09     2.9613e-09
K-42           3.4915e-19     1.0000e-99
K-43           4.9191e-23     1.0000e-99
K-44           1.9206e-37     1.0000e-99
K-45           3.6921e-47     1.0000e-99
K-46           2.1683e-99     1.0000e-99
Ca-39          2.1683e-99     1.0000e-99
Ca-40          2.6042e-06     1.2057e-06
Ca-41          3.3259e-10     1.0000e-99
Ca-42          1.1523e-08     5.0679e-09
Ca-43          2.4654e-09     1.0826e-09
Ca-44          3.7462e-08     1.7117e-08
Ca-45          9.2543e-16     1.0000e-99
Ca-46          1.0018e-10     3.4316e-11
Ca-47          1.3152e-18     1.0000e-99
Ca-48          3.6241e-09     1.6740e-09
Ca-49          3.9794e-28     1.0000e-99
Sc-43          5.2755e-23     1.0000e-99
Sc-44          6.9965e-24     1.0000e-99
Sc-45          1.2907e-09     5.4186e-10
Sc-46          9.8183e-16     1.0000e-99
Sc-47          1.7384e-18     1.0000e-99
Sc-48          8.3367e-24     1.0000e-99
Sc-49          8.9813e-26     1.0000e-99
Sc-50          1.6533e-38     1.0000e-99
Ti-44          1.4872e-25     1.0000e-99
Ti-45          2.1683e-99     1.0000e-99
Ti-46          7.1309e-09     3.2347e-09
Ti-47          6.4648e-09     2.9797e-09
Ti-48          1.1569e-07     5.3765e-08
Ti-49          5.5304e-09     2.2594e-09
Ti-50          6.7092e-09     2.2100e-09
Ti-51          9.1458e-27     1.0000e-99
Ti-52          1.4400e-37     1.0000e-99
V-47           2.5924e-27     1.0000e-99
V-48           3.9281e-23     1.0000e-99
V-49           2.9350e-18     1.0000e-99
V-50           2.1812e-11     1.0164e-11
V-51           9.0275e-09     4.1415e-09
V-52           4.6432e-26     1.0000e-99
V-53           5.0612e-36     1.0000e-99
Cr-48          2.1683e-99     1.0000e-99
Cr-49          2.1683e-99     1.0000e-99
Cr-50          1.7752e-08     8.2728e-09
Cr-51          4.4102e-12     1.0000e-99
Cr-52          3.5876e-07     1.6591e-07
Cr-53          4.1474e-08     1.9173e-08
Cr-54          1.1689e-08     4.8623e-09
Cr-55          2.4884e-26     1.0000e-99
Cr-56          1.2680e-35     1.0000e-99
Mn-51          2.5654e-29     1.0000e-99
Mn-52          1.6894e-26     1.0000e-99
Mn-53          8.6269e-19     1.0000e-99
Mn-54          3.0360e-19     1.0000e-99
Mn-55          2.3712e-07     1.0991e-07
Mn-56          3.0564e-21     1.0000e-99
Mn-57          9.3739e-33     1.0000e-99
Fe-52          2.1683e-99     1.0000e-99
Fe-53          2.1683e-99     1.0000e-99
Fe-54          1.7461e-06     8.1255e-07
Fe-55          2.6302e-09     1.0000e-99
Fe-56          2.8553e-05     1.3228e-05
Fe-57          7.0713e-07     3.1094e-07
Fe-58          1.3598e-07     4.2107e-08
Fe-59          5.5011e-14     1.0000e-99
Fe-60          8.7187e-10     1.0000e-99
Fe-61          8.0193e-27     1.0000e-99
Co-55          6.6070e-26     1.0000e-99
Co-56          8.9699e-25     1.0000e-99
Co-57          2.6977e-19     1.0000e-99
Co-58          5.6010e-22     1.0000e-99
Co-59          9.4620e-08     3.9951e-08
Co-60          7.8413e-12     1.0000e-99
Co-61          1.4749e-23     1.0000e-99
Co-62          4.3674e-35     1.0000e-99
Co-63          6.1626e-47     1.0000e-99
Ni-56          2.1683e-99     1.0000e-99
Ni-57          2.1683e-99     1.0000e-99
Ni-58          1.2287e-06     5.7161e-07
Ni-59          1.6647e-09     1.0000e-99
Ni-60          4.9782e-07     2.2778e-07
Ni-61          2.5208e-08     1.0066e-08
Ni-62          7.6569e-08     3.2622e-08
Ni-63          1.2071e-09     1.0000e-99
Ni-64          2.4260e-08     8.5758e-09
Ni-65          6.4633e-22     1.0000e-99
Ni-66          4.7538e-22     1.0000e-99
Ni-67          2.7283e-41     1.0000e-99
Ni-68          2.1683e-99     1.0000e-99
Cu-60          4.8361e-32     1.0000e-99
Cu-61          1.5842e-28     1.0000e-99
Cu-62          4.5365e-32     1.0000e-99
Cu-63          1.5170e-08     6.6063e-09
Cu-64          1.3884e-17     1.0000e-99
Cu-65          8.3540e-09     3.0374e-09
Cu-66          1.0213e-24     1.0000e-99
Cu-67          1.8002e-22     1.0000e-99
Cu-68          4.5717e-39     1.0000e-99
Cu-69          1.0621e-45     1.0000e-99
Cu-70          2.1683e-99     1.0000e-99
Cu-71          2.1683e-99     1.0000e-99
Zn-62          2.1683e-99     1.0000e-99
Zn-63          2.1683e-99     1.0000e-99
Zn-64          2.4726e-08     1.1318e-08
Zn-65          4.3678e-11     1.0000e-99
Zn-66          1.6030e-08     6.6961e-09
Zn-67          2.5090e-09     9.9892e-10
Zn-68          1.1999e-08     4.6364e-09
Zn-69          4.5754e-23     1.0000e-99
Zn-70          3.4173e-10     1.5782e-10
Zn-71          1.5504e-28     1.0000e-99
Zn-72          1.9594e-26     1.0000e-99
Zn-73          7.3924e-54     1.0000e-99
Zn-74          2.1683e-99     1.0000e-99
Ga-65          1.7981e-34     1.0000e-99
Ga-66          5.5917e-40     1.0000e-99
Ga-67          1.3163e-28     1.0000e-99
Ga-68          5.8181e-34     1.0000e-99
Ga-69          1.2700e-09     4.5546e-10
Ga-70          1.8460e-24     1.0000e-99
Ga-71          8.8117e-10     3.1104e-10
Ga-72          4.1632e-19     1.0000e-99
Ga-73          2.5807e-25     1.0000e-99
Ga-74          8.9933e-37     1.0000e-99
Ga-75          1.3654e-46     1.0000e-99
Ge-66          2.1683e-99     1.0000e-99
Ge-67          2.1683e-99     1.0000e-99
Ge-68          2.1683e-99     1.0000e-99
Ge-69          2.1683e-99     1.0000e-99
Ge-70          1.5686e-09     5.1618e-10
Ge-71          6.3291e-15     1.0000e-99
Ge-72          2.0232e-09     6.9165e-10
Ge-73          5.8123e-10     1.9563e-10
Ge-74          2.9961e-09     9.2368e-10
Ge-75          1.0674e-22     1.0000e-99
Ge-76          4.2550e-10     1.9647e-10
Ge-77          1.0173e-21     1.0000e-99
Ge-78          1.3349e-30     1.0000e-99
As-69          2.1683e-99     1.0000e-99
As-70          2.1683e-99     1.0000e-99
As-71          8.2243e-35     1.0000e-99
As-72          2.1683e-99     1.0000e-99
As-73          9.6835e-31     1.0000e-99
As-74          1.6166e-26     1.0000e-99
As-75          4.0970e-10     1.4313e-10
As-76          1.2619e-19     1.0000e-99
As-77          1.4409e-19     1.0000e-99
As-78          1.2150e-29     1.0000e-99
As-79          2.0769e-39     1.0000e-99
As-80          2.1683e-99     1.0000e-99
As-81          2.1683e-99     1.0000e-99
Se-72          2.1683e-99     1.0000e-99
Se-73          2.1683e-99     1.0000e-99
Se-74          2.5677e-11     1.1990e-11
Se-75          4.2093e-18     1.0000e-99
Se-76          5.1120e-10     1.2973e-10
Se-77          3.2178e-10     1.0715e-10
Se-78          1.3382e-09     3.3794e-10
Se-79          9.8808e-11     1.0000e-99
Se-80          2.2619e-09     7.2328e-10
Se-81          1.0815e-24     1.0000e-99
Se-82          2.8195e-10     1.3048e-10
Se-83          1.9392e-27     1.0000e-99
Se-84          9.7537e-38     1.0000e-99
Br-74          2.1683e-99     1.0000e-99
Br-75          2.1683e-99     1.0000e-99
Br-76          2.1683e-99     1.0000e-99
Br-77          2.1683e-99     1.0000e-99
Br-78          2.1683e-99     1.0000e-99
Br-79          3.2802e-10     1.3906e-10
Br-80          9.8655e-25     1.0000e-99
Br-81          4.2448e-10     1.3872e-10
Br-82          1.3927e-17     1.0000e-99
Br-83          8.0264e-25     1.0000e-99
Br-84          3.0349e-33     1.0000e-99
Br-85          9.4808e-45     1.0000e-99
Br-86          2.1683e-99     1.0000e-99
Br-87          2.1683e-99     1.0000e-99
Kr-76          2.1683e-99     1.0000e-99
Kr-77          2.1683e-99     1.0000e-99
Kr-78          8.3602e-12     3.9037e-12
Kr-79          1.4918e-22     1.0000e-99
Kr-80          6.8820e-11     2.5770e-11
Kr-81          5.0971e-12     1.0000e-99
Kr-82          6.4347e-10     1.3207e-10
Kr-83          4.1755e-10     1.3254e-10
Kr-84          2.3867e-09     6.6079e-10
Kr-85          3.0684e-11     1.0000e-99
Kr-86          1.9983e-09     2.0462e-10
Kr-87          6.5801e-24     1.0000e-99
Kr-88          3.1019e-29     1.0000e-99
Kr-89          4.8602e-43     1.0000e-99
Kr-90          2.1683e-99     1.0000e-99
Rb-79          2.1683e-99     1.0000e-99
Rb-80          2.1683e-99     1.0000e-99
Rb-81          2.1683e-99     1.0000e-99
Rb-82          2.1683e-99     1.0000e-99
Rb-83          4.0752e-70     1.0000e-99
Rb-84          4.1539e-29     1.0000e-99
Rb-85          5.3278e-10     1.2836e-10
Rb-86          2.0225e-15     1.0000e-99
Rb-87          5.7125e-10     5.0673e-11
Rb-88          1.9939e-25     1.0000e-99
Rb-89          7.9078e-33     1.0000e-99
Rb-90          1.1492e-41     1.0000e-99
Rb-91          2.1683e-99     1.0000e-99
Sr-80          2.1683e-99     1.0000e-99
Sr-81          2.1683e-99     1.0000e-99
Sr-82          2.1683e-99     1.0000e-99
Sr-83          2.1683e-99     1.0000e-99
Sr-84          6.9192e-12     3.2309e-12
Sr-85          4.4425e-20     1.0000e-99
Sr-86          4.1421e-10     5.8498e-11
