# Ritter 2018 yields
# Model: M2.00Z2.0e-02
# Set: set1.2
# Mini: 2.00
# Mfinal: 0.6203309543381046
# Created by Daniel Boyea on 2024-10-31
isotope       mass_yield     X0      
Sr-87          7.5396e-09     4.4431e-09
Sr-88          8.6614e-08     5.0108e-08
Sr-89          1.9847e-25     0.0000e+00
Sr-90          1.1370e-13     0.0000e+00
Y-89           2.1470e-08     1.2293e-08
Y-90           2.8924e-17     0.0000e+00
Zr-90          2.5587e-08     1.5344e-08
Zr-91          5.8784e-09     3.3840e-09
Zr-92          9.4778e-09     5.2268e-09
Zr-93          6.8933e-10     0.0000e+00
Zr-94          9.2382e-09     5.4133e-09
Zr-95          2.3921e-25     0.0000e+00
Zr-96          1.3752e-09     8.9034e-10
Nb-93          2.5531e-09     1.9001e-09
Nb-94          2.4889e-14     0.0000e+00
Nb-95          1.3043e-25     0.0000e+00
Mo-92          1.3659e-09     1.0125e-09
Mo-93          1.5990e-12     0.0000e+00
Mo-94          8.9587e-10     6.4475e-10
Mo-95          1.8039e-09     1.1219e-09
Mo-96          2.1715e-09     1.1875e-09
Mo-97          1.1183e-09     6.8753e-10
Mo-98          3.0605e-09     1.7544e-09
Mo-99          1.0149e-26     0.0000e+00
Mo-100         9.8765e-10     7.1461e-10
Tc-99          9.2658e-11     0.0000e+00
Ru-96          3.9298e-10     2.9256e-10
Ru-97          3.0222e-27     0.0000e+00
Ru-98          1.3589e-10     1.0071e-10
Ru-99          9.3561e-10     6.9454e-10
Ru-100         1.2720e-09     6.9279e-10
Ru-101         1.3472e-09     9.4751e-10
Ru-102         2.8652e-09     1.7697e-09
Ru-103         8.6067e-27     0.0000e+00
Ru-104         1.4536e-09     1.0649e-09
Rh-103         1.5024e-09     1.0547e-09
Pd-102         5.6909e-11     4.2411e-11
Pd-103         4.5848e-27     0.0000e+00
Pd-104         8.9359e-10     4.7228e-10
Pd-105         1.3517e-09     9.5579e-10
Pd-106         1.9055e-09     1.1809e-09
Pd-107         6.3351e-11     0.0000e+00
Pd-108         1.9713e-09     1.1649e-09
Pd-109         2.4781e-27     0.0000e+00
Pd-110         7.2727e-10     5.2554e-10
Ag-107         1.0516e-09     7.8402e-10
Ag-108         1.0553e-29     0.0000e+00
Ag-109         1.1155e-09     7.4200e-10
Cd-106         8.5175e-11     6.3460e-11
Cd-107         7.7991e-29     0.0000e+00
Cd-108         6.5692e-11     4.6036e-11
Cd-109         7.2544e-26     0.0000e+00
Cd-110         1.2280e-09     6.5802e-10
Cd-111         1.0307e-09     6.8048e-10
Cd-112         2.1923e-09     1.2944e-09
Cd-113         1.0207e-09     6.6135e-10
Cd-114         2.7747e-09     1.5686e-09
Cd-115         1.5855e-25     0.0000e+00
Cd-116         6.0940e-10     4.1612e-10
In-113         3.5008e-11     2.6039e-11
In-114         2.5793e-31     0.0000e+00
In-115         9.2708e-10     5.9149e-10
Sn-112         1.6401e-10     1.2210e-10
Sn-113         4.3489e-26     0.0000e+00
Sn-114         1.1425e-10     8.4348e-11
Sn-115         5.9258e-11     4.3770e-11
Sn-116         3.3896e-09     1.8932e-09
Sn-117         1.6257e-09     1.0083e-09
Sn-118         5.5864e-09     3.2092e-09
Sn-119         1.9235e-09     1.1470e-09
Sn-120         7.7784e-09     4.3913e-09
Sn-121         8.8868e-27     0.0000e+00
Sn-122         9.7372e-10     6.3406e-10
Sn-123         2.2291e-27     0.0000e+00
Sn-124         1.1012e-09     8.0595e-10
Sb-121         9.9553e-10     6.3178e-10
Sb-122         1.4005e-26     0.0000e+00
Sb-123         6.6797e-10     4.8029e-10
Te-120         2.1843e-11     1.6283e-11
Te-121         2.0453e-27     0.0000e+00
Te-122         8.3118e-10     4.4887e-10
Te-123         2.9140e-10     1.5786e-10
Te-124         1.5937e-09     8.4409e-10
Te-125         1.8467e-09     1.2613e-09
Te-126         5.4219e-09     3.3753e-09
Te-127         2.1073e-27     0.0000e+00
Te-128         7.8483e-09     5.7329e-09
Te-129         1.5344e-28     0.0000e+00
Te-130         8.4810e-09     6.2106e-09
I-127          2.0753e-09     1.4591e-09
I-128          3.1387e-28     0.0000e+00
I-129          3.5955e-12     0.0000e+00
Xe-124         2.9636e-11     2.2095e-11
Xe-125         2.0235e-28     0.0000e+00
Xe-126         2.6173e-11     1.9493e-11
Xe-127         3.8466e-27     0.0000e+00
Xe-128         8.0832e-10     3.9427e-10
Xe-129         6.6855e-09     4.8930e-09
Xe-130         1.7024e-09     7.8650e-10
Xe-131         5.5500e-09     3.9447e-09
Xe-132         7.7744e-09     4.8062e-09
Xe-134         2.5005e-09     1.7880e-09
Xe-135         1.7740e-28     0.0000e+00
Xe-136         2.0378e-09     1.4784e-09
