# Ritter 2018 yields
# Model: M5.00Z2.0e-02
# Set: set1.2
# Mini: 5.00
# Mfinal: 0.8767619794726023
# Created by Daniel Boyea on 2024-10-31
isotope       mass_yield     X0      
H-1            2.6215e+00     7.0644e-01
H-2            9.5130e-07     1.3705e-05
He-3           2.4883e-04     4.5400e-05
He-4           1.3969e+00     2.7350e-01
Li-7           7.9171e-11     7.6051e-11
B-11           1.1776e-08     2.8559e-09
C-12           2.2687e-02     3.4247e-03
C-13           6.6683e-04     4.1561e-05
C-14           1.8005e-08     0.0000e+00
N-13           9.3706e-09     0.0000e+00
N-14           1.6785e-02     1.0588e-03
N-15           5.1778e-06     4.1707e-06
O-16           3.9107e-02     9.6244e-03
O-17           6.2043e-05     3.8131e-06
O-18           5.1541e-05     2.1711e-05
F-18           1.5640e-11     0.0000e+00
F-19           2.0839e-06     5.6110e-07
Ne-20          7.6106e-03     1.8177e-03
Ne-21          3.0236e-05     4.5753e-06
Ne-22          9.1716e-04     1.4702e-04
Na-23          2.8559e-04     3.9995e-05
Mg-24          2.4076e-03     5.8624e-04
Mg-25          4.7098e-04     7.7331e-05
Mg-26          8.3392e-04     8.8480e-05
Al-26          4.7309e-07     0.0000e+00
Al-27          2.8496e-04     6.4811e-05
Si-28          3.0794e-03     7.4527e-04
Si-29          1.6427e-04     3.9194e-05
Si-30          1.1808e-04     2.6728e-05
P-31           3.1209e-05     7.1063e-06
S-32           1.6480e-03     4.0109e-04
S-33           1.3613e-05     3.2648e-06
S-34           7.9122e-05     1.8904e-05
S-35           5.6224e-19     0.0000e+00
S-36           5.3844e-07     8.0730e-08
Cl-35          2.7982e-05     6.8211e-06
Cl-36          9.4786e-09     0.0000e+00
Cl-37          1.0427e-05     2.3058e-06
Ar-36          3.3619e-04     8.2022e-05
Ar-37          3.6877e-09     0.0000e+00
Ar-38          6.5682e-05     1.5741e-05
Ar-39          1.4776e-07     0.0000e+00
Ar-40          2.4204e-07     2.6502e-08
K-39           1.6077e-05     3.8997e-06
K-40           2.3372e-08     5.0051e-10
K-41           1.2636e-06     2.9587e-07
Ca-40          2.9651e-04     7.2252e-05
Ca-41          4.1411e-08     0.0000e+00
Ca-42          2.1951e-06     5.0633e-07
Ca-43          4.7710e-07     1.0816e-07
Ca-44          7.1273e-06     1.7102e-06
Ca-45          2.0203e-15     0.0000e+00
Ca-46          4.3913e-08     3.4285e-09
Ca-47          4.6006e-25     0.0000e+00
Ca-48          6.8899e-07     1.6725e-07
Sc-44          4.0400e-24     0.0000e+00
Sc-45          2.5583e-07     5.4137e-08
Sc-46          1.8302e-21     0.0000e+00
Sc-47          3.6824e-24     0.0000e+00
Ti-44          1.9986e-22     0.0000e+00
Ti-45          0.0000e+00     0.0000e+00
Ti-46          1.3420e-06     3.2318e-07
Ti-47          1.2281e-06     2.9770e-07
Ti-48          1.2343e-05     3.0138e-06
Ti-49          9.7360e-07     2.2573e-07
Ti-50          1.0315e-06     2.2080e-07
V-49           1.2970e-17     0.0000e+00
V-50           4.1493e-09     1.0155e-09
V-51           1.7027e-06     4.1378e-07
Cr-50          3.3773e-06     8.2654e-07
Cr-51          3.0751e-10     0.0000e+00
Cr-52          6.8004e-05     1.6576e-05
Cr-53          7.8686e-06     1.9156e-06
Cr-54          2.2493e-06     4.8579e-07
Mn-53          1.2615e-17     0.0000e+00
Mn-54          1.0271e-17     0.0000e+00
Mn-55          4.4974e-05     1.0981e-05
Mn-56          1.2464e-22     0.0000e+00
Fe-54          3.3189e-04     8.1182e-05
Fe-55          1.4389e-07     0.0000e+00
Fe-56          5.4159e-03     1.3216e-03
Fe-57          1.3162e-04     3.1066e-05
Fe-58          2.9606e-05     4.2069e-06
Fe-59          1.0242e-20     0.0000e+00
Fe-60          2.5653e-06     0.0000e+00
Co-56          2.1826e-21     0.0000e+00
Co-57          4.3736e-17     0.0000e+00
Co-58          7.0189e-17     0.0000e+00
Co-59          2.0403e-05     3.9915e-06
Co-60          3.2989e-09     0.0000e+00
Ni-58          2.3344e-04     5.7110e-05
Ni-59          6.9444e-08     0.0000e+00
Ni-60          9.5642e-05     2.2757e-05
Ni-61          5.4451e-06     1.0057e-06
Ni-62          1.6695e-05     3.2593e-06
Ni-63          1.0423e-06     0.0000e+00
Ni-64          7.4930e-06     8.5681e-07
Cu-63          3.9133e-06     6.6003e-07
Cu-64          1.7880e-22     0.0000e+00
Cu-65          2.3068e-06     3.0347e-07
Zn-64          4.7386e-06     1.1308e-06
Zn-65          1.5162e-13     0.0000e+00
Zn-66          3.6638e-06     6.6901e-07
Zn-67          6.1919e-07     9.9803e-08
Zn-68          3.2076e-06     4.6323e-07
Zn-69          3.5724e-24     0.0000e+00
Zn-70          7.2445e-08     1.5768e-08
Ga-69          3.6725e-07     4.5505e-08
Ga-70          5.6913e-25     0.0000e+00
Ga-71          2.3798e-07     3.1076e-08
Ge-70          4.7602e-07     5.1572e-08
Ge-71          9.1245e-22     0.0000e+00
Ge-72          5.5645e-07     6.9103e-08
Ge-73          1.6196e-07     1.9546e-08
Ge-74          8.4418e-07     9.2285e-08
Ge-75          1.6462e-24     0.0000e+00
Ge-76          9.1159e-08     1.9629e-08
As-75          1.0622e-07     1.4300e-08
Se-74          4.8917e-09     1.1979e-09
Se-76          1.5708e-07     1.2961e-08
Se-77          8.4761e-08     1.0705e-08
Se-78          3.9412e-07     3.3763e-08
Se-79          4.6796e-08     0.0000e+00
Se-80          5.8711e-07     7.2263e-08
Se-81          2.7945e-25     0.0000e+00
Se-82          5.6565e-08     1.3036e-08
Br-79          6.4597e-08     1.3893e-08
Br-80          4.0846e-25     0.0000e+00
Br-81          1.0854e-07     1.3859e-08
Kr-78          1.5929e-09     3.9002e-10
Kr-79          4.5686e-25     0.0000e+00
Kr-80          1.4686e-08     2.5747e-09
Kr-81          1.3558e-09     0.0000e+00
Kr-82          1.7396e-07     1.3195e-08
Kr-83          9.7445e-08     1.3242e-08
Kr-84          5.5107e-07     6.6020e-08
Kr-85          7.3517e-09     0.0000e+00
Kr-86          4.2676e-07     2.0444e-08
Rb-85          1.4613e-07     1.2824e-08
Rb-86          3.7047e-22     0.0000e+00
Rb-87          1.9254e-07     5.0628e-09
Sr-84          1.3180e-09     3.2280e-10
Sr-85          2.4770e-23     0.0000e+00
Sr-86          6.8991e-08     5.8446e-09
Sr-87          3.8459e-08     4.4431e-09
Sr-88          5.9083e-07     5.0108e-08
Sr-89          1.2626e-22     0.0000e+00
Sr-90          6.1058e-09     0.0000e+00
Y-89           1.4918e-07     1.2293e-08
Y-90           1.5533e-12     0.0000e+00
Zr-90          1.1650e-07     1.5344e-08
Zr-91          3.3326e-08     3.3840e-09
Zr-92          5.9794e-08     5.2268e-09
Zr-93          1.1220e-08     0.0000e+00
Zr-94          4.9385e-08     5.4133e-09
Zr-95          9.1435e-22     0.0000e+00
Zr-96          3.6814e-08     8.9034e-10
Nb-93          7.7598e-09     1.9001e-09
Nb-94          2.9683e-15     0.0000e+00
Nb-95          1.0350e-21     0.0000e+00
Mo-92          4.1363e-09     1.0125e-09
Mo-93          1.8024e-13     0.0000e+00
Mo-94          2.6395e-09     6.4475e-10
Mo-95          9.9148e-09     1.1219e-09
Mo-96          1.0974e-08     1.1875e-09
Mo-97          5.3336e-09     6.8753e-10
Mo-98          1.3752e-08     1.7544e-09
Mo-99          3.5153e-24     0.0000e+00
Mo-100         3.6699e-09     7.1461e-10
Tc-99          8.6316e-10     0.0000e+00
Ru-96          1.1949e-09     2.9256e-10
Ru-97          6.8707e-25     0.0000e+00
Ru-98          4.1138e-10     1.0071e-10
Ru-99          2.8700e-09     6.9454e-10
Ru-100         5.3788e-09     6.9279e-10
Ru-101         4.4705e-09     9.4751e-10
Ru-102         1.0678e-08     1.7697e-09
Ru-103         2.4833e-24     0.0000e+00
Ru-104         4.8473e-09     1.0649e-09
Rh-103         4.9193e-09     1.0547e-09
Pd-102         1.7317e-10     4.2411e-11
Pd-103         9.3633e-25     0.0000e+00
Pd-104         3.4972e-09     4.7228e-10
Pd-105         4.3579e-09     9.5579e-10
Pd-106         6.8386e-09     1.1809e-09
Pd-107         3.8618e-10     0.0000e+00
Pd-108         7.1562e-09     1.1649e-09
Pd-109         6.8259e-25     0.0000e+00
Pd-110         2.6323e-09     5.2554e-10
Ag-107         3.2004e-09     7.8402e-10
Ag-108         2.3387e-27     0.0000e+00
Ag-109         3.7431e-09     7.4200e-10
Cd-106         2.5914e-10     6.3460e-11
Cd-107         1.8774e-26     0.0000e+00
Cd-108         1.9109e-10     4.6036e-11
Cd-109         7.8327e-18     0.0000e+00
Cd-110         4.4735e-09     6.5802e-10
Cd-111         3.4444e-09     6.8048e-10
Cd-112         7.8201e-09     1.2944e-09
Cd-113         3.4239e-09     6.6135e-10
Cd-114         9.9454e-09     1.5686e-09
Cd-115         3.9762e-23     0.0000e+00
Cd-116         3.1252e-09     4.1612e-10
In-113         1.0637e-10     2.6039e-11
In-114         4.6250e-29     0.0000e+00
In-115         3.1447e-09     5.9149e-10
Sn-112         4.9867e-10     1.2210e-10
Sn-113         9.7870e-24     0.0000e+00
Sn-114         3.4471e-10     8.4348e-11
Sn-115         1.7885e-10     4.3770e-11
Sn-116         1.1355e-08     1.8932e-09
Sn-117         5.5278e-09     1.0083e-09
Sn-118         1.9520e-08     3.2092e-09
Sn-119         6.5506e-09     1.1470e-09
Sn-120         2.6734e-08     4.3913e-09
Sn-121         2.2860e-24     0.0000e+00
Sn-122         6.3949e-09     6.3406e-10
Sn-123         5.0054e-21     0.0000e+00
Sn-124         3.6688e-09     8.0595e-10
Sb-121         3.3181e-09     6.3178e-10
Sb-122         3.4440e-24     0.0000e+00
Sb-123         2.3736e-09     4.8029e-10
Te-120         6.6472e-11     1.6283e-11
Te-121         4.2043e-25     0.0000e+00
Te-122         2.8140e-09     4.4887e-10
Te-123         9.6555e-10     1.5786e-10
Te-124         5.6707e-09     8.4409e-10
Te-125         5.8753e-09     1.2613e-09
Te-126         1.7308e-08     3.3753e-09
Te-127         4.9674e-25     0.0000e+00
Te-128         2.4260e-08     5.7329e-09
Te-129         3.4825e-26     0.0000e+00
Te-130         2.5517e-08     6.2106e-09
I-127          6.4177e-09     1.4591e-09
I-128          6.2963e-26     0.0000e+00
I-129          2.7888e-11     0.0000e+00
Xe-124         9.0175e-11     2.2095e-11
Xe-125         4.5212e-26     0.0000e+00
Xe-126         7.9590e-11     1.9493e-11
Xe-127         7.2352e-25     0.0000e+00
Xe-128         2.5953e-09     3.9427e-10
Xe-129         2.0413e-08     4.8930e-09
Xe-130         5.1855e-09     7.8650e-10
Xe-131         1.6849e-08     3.9447e-09
Xe-132         2.3035e-08     4.8062e-09
Xe-134         9.4174e-09     1.7880e-09
Xe-135         5.0946e-26     0.0000e+00
Xe-136         6.3483e-09     1.4784e-09
Cs-133         6.3322e-09     1.4260e-09
Cs-134         6.9390e-14     0.0000e+00
Cs-135         6.9860e-10     0.0000e+00
Ba-130         7.4046e-11     1.8143e-11
Ba-131         5.0081e-25     0.0000e+00
Ba-132         7.1948e-11     1.7621e-11
Ba-133         1.1064e-20     0.0000e+00
Ba-134         2.6330e-09     4.2723e-10
Ba-135         5.0613e-09     1.1739e-09
Ba-136         8.2669e-09     1.4088e-09
