# Battino yields
# Model: m3z1m3-bigpoc
# Set: set1.01
# Mini: 3.00
# Mfinal: 0.8314503384460126
# Created by Daniel Boyea on 2024-12-04
isotope       mass_yield     X0      
Mn-57          9.3750e-33     1.0000e-99
Fe-52          2.1686e-99     1.0000e-99
Fe-53          2.1686e-99     1.0000e-99
Fe-54          1.7464e-06     8.1255e-07
Fe-55          2.6307e-09     1.0000e-99
Fe-56          2.8557e-05     1.3228e-05
Fe-57          7.0724e-07     3.1094e-07
Fe-58          1.3601e-07     4.2107e-08
Fe-59          5.5016e-14     1.0000e-99
Fe-60          8.7206e-10     1.0000e-99
Fe-61          8.0223e-27     1.0000e-99
Co-55          7.3478e-26     1.0000e-99
Co-56          9.0097e-25     1.0000e-99
Co-57          2.7077e-19     1.0000e-99
Co-58          5.6175e-22     1.0000e-99
Co-59          9.4635e-08     3.9951e-08
Co-60          7.8423e-12     1.0000e-99
Co-61          1.4751e-23     1.0000e-99
Co-62          4.3679e-35     1.0000e-99
Co-63          6.1633e-47     1.0000e-99
Ni-56          2.1686e-99     1.0000e-99
Ni-57          2.1686e-99     1.0000e-99
Ni-58          1.2289e-06     5.7161e-07
Ni-59          1.6650e-09     1.0000e-99
Ni-60          4.9789e-07     2.2778e-07
Ni-61          2.5212e-08     1.0066e-08
Ni-62          7.6580e-08     3.2622e-08
Ni-63          1.2073e-09     1.0000e-99
Ni-64          2.4264e-08     8.5758e-09
Ni-65          6.4640e-22     1.0000e-99
Ni-66          4.7543e-22     1.0000e-99
Ni-67          2.7286e-41     1.0000e-99
Ni-68          2.1686e-99     1.0000e-99
Cu-60          4.8367e-32     1.0000e-99
Cu-61          1.6807e-28     1.0000e-99
Cu-62          6.1575e-32     1.0000e-99
Cu-63          1.5173e-08     6.6063e-09
Cu-64          1.3885e-17     1.0000e-99
Cu-65          8.3552e-09     3.0374e-09
Cu-66          1.0217e-24     1.0000e-99
Cu-67          1.8004e-22     1.0000e-99
Cu-68          4.5722e-39     1.0000e-99
Cu-69          1.0622e-45     1.0000e-99
Cu-70          2.1686e-99     1.0000e-99
Cu-71          2.1686e-99     1.0000e-99
Zn-62          2.1686e-99     1.0000e-99
Zn-63          2.1686e-99     1.0000e-99
Zn-64          2.4730e-08     1.1318e-08
Zn-65          4.3683e-11     1.0000e-99
Zn-66          1.6032e-08     6.6961e-09
Zn-67          2.5093e-09     9.9892e-10
Zn-68          1.2001e-08     4.6364e-09
Zn-69          4.5762e-23     1.0000e-99
Zn-70          3.4178e-10     1.5782e-10
Zn-71          1.5780e-28     1.0000e-99
Zn-72          1.9596e-26     1.0000e-99
Zn-73          7.3932e-54     1.0000e-99
Zn-74          2.1686e-99     1.0000e-99
Ga-65          1.7983e-34     1.0000e-99
Ga-66          5.5924e-40     1.0000e-99
Ga-67          1.3193e-28     1.0000e-99
Ga-68          5.8187e-34     1.0000e-99
Ga-69          1.2702e-09     4.5546e-10
Ga-70          1.8467e-24     1.0000e-99
Ga-71          8.8131e-10     3.1104e-10
Ga-72          4.1635e-19     1.0000e-99
Ga-73          2.5809e-25     1.0000e-99
Ga-74          8.9944e-37     1.0000e-99
Ga-75          1.3655e-46     1.0000e-99
Ge-66          2.1686e-99     1.0000e-99
Ge-67          2.1686e-99     1.0000e-99
Ge-68          2.1686e-99     1.0000e-99
Ge-69          2.1686e-99     1.0000e-99
Ge-70          1.5688e-09     5.1618e-10
Ge-71          6.3298e-15     1.0000e-99
Ge-72          2.0235e-09     6.9165e-10
Ge-73          5.8132e-10     1.9563e-10
Ge-74          2.9965e-09     9.2368e-10
Ge-75          1.0676e-22     1.0000e-99
Ge-76          4.2556e-10     1.9647e-10
Ge-77          1.0173e-21     1.0000e-99
Ge-78          1.3351e-30     1.0000e-99
As-69          2.1686e-99     1.0000e-99
As-70          2.1686e-99     1.0000e-99
As-71          8.2253e-35     1.0000e-99
As-72          2.1686e-99     1.0000e-99
As-73          1.0170e-30     1.0000e-99
