# Battino yields
# Model: m2z1m3
# Set: set1.01
# Mini: 2.00
# Mfinal: 0.682099511659186
# Created by Daniel Boyea on 2024-12-04
isotope       mass_yield     X0      
Fe-52          1.3185e-99     1.0000e-99
Fe-53          1.3185e-99     1.0000e-99
Fe-54          1.0508e-06     8.1255e-07
Fe-55          1.0259e-09     1.0000e-99
Fe-56          1.7281e-05     1.3228e-05
Fe-57          4.4406e-07     3.1094e-07
Fe-58          1.1689e-07     4.2107e-08
Fe-59          3.6806e-16     1.0000e-99
Fe-60          9.0754e-09     1.0000e-99
Fe-61          3.6370e-26     1.0000e-99
Co-55          4.5813e-25     1.0000e-99
Co-56          3.6653e-28     1.0000e-99
Co-57          7.1684e-21     1.0000e-99
Co-58          2.0361e-23     1.0000e-99
Co-59          6.6820e-08     3.9951e-08
Co-60          9.2774e-15     1.0000e-99
Co-61          4.2740e-22     1.0000e-99
Co-62          5.4586e-37     1.0000e-99
Co-63          1.3185e-99     1.0000e-99
Ni-56          1.3185e-99     1.0000e-99
Ni-57          1.3185e-99     1.0000e-99
Ni-58          7.4005e-07     5.7161e-07
Ni-59          2.0177e-09     1.0000e-99
Ni-60          3.0953e-07     2.2778e-07
Ni-61          1.8887e-08     1.0066e-08
Ni-62          5.2379e-08     3.2622e-08
Ni-63          8.1570e-11     1.0000e-99
Ni-64          2.0361e-08     8.5758e-09
Ni-65          1.8800e-21     1.0000e-99
Ni-66          3.6404e-28     1.0000e-99
Ni-67          1.3185e-99     1.0000e-99
Ni-68          1.3185e-99     1.0000e-99
Cu-60          1.0097e-32     1.0000e-99
Cu-61          3.5551e-27     1.0000e-99
Cu-62          3.9225e-32     1.0000e-99
Cu-63          1.2838e-08     6.6063e-09
Cu-64          6.3316e-19     1.0000e-99
Cu-65          6.7836e-09     3.0374e-09
Cu-66          1.6245e-25     1.0000e-99
Cu-67          4.4814e-28     1.0000e-99
Cu-68          1.3185e-99     1.0000e-99
Cu-69          1.3185e-99     1.0000e-99
Cu-70          1.3185e-99     1.0000e-99
Cu-71          1.3185e-99     1.0000e-99
Zn-62          1.3185e-99     1.0000e-99
Zn-63          1.3185e-99     1.0000e-99
Zn-64          1.5914e-08     1.1318e-08
Zn-65          1.9423e-12     1.0000e-99
Zn-66          1.0458e-08     6.6961e-09
Zn-67          1.6625e-09     9.9892e-10
Zn-68          7.6509e-09     4.6364e-09
Zn-69          8.2042e-23     1.0000e-99
Zn-70          2.0680e-10     1.5782e-10
Zn-71          2.7687e-29     1.0000e-99
Zn-72          1.0982e-58     1.0000e-99
Zn-73          1.3185e-99     1.0000e-99
Zn-74          1.3185e-99     1.0000e-99
Ga-65          2.0889e-34     1.0000e-99
Ga-66          1.3185e-99     1.0000e-99
Ga-67          1.0583e-27     1.0000e-99
Ga-68          1.2101e-33     1.0000e-99
Ga-69          8.3595e-10     4.5546e-10
Ga-70          1.7997e-24     1.0000e-99
Ga-71          6.1643e-10     3.1104e-10
Ga-72          2.2079e-20     1.0000e-99
Ga-73          6.5116e-29     1.0000e-99
Ga-74          2.4136e-86     1.0000e-99
Ga-75          1.3185e-99     1.0000e-99
Ge-66          1.3185e-99     1.0000e-99
Ge-67          1.3185e-99     1.0000e-99
Ge-68          1.3185e-99     1.0000e-99
Ge-69          1.3185e-99     1.0000e-99
Ge-70          1.0469e-09     5.1618e-10
Ge-71          9.9994e-18     1.0000e-99
Ge-72          1.2537e-09     6.9165e-10
Ge-73          3.5251e-10     1.9563e-10
Ge-74          1.7582e-09     9.2368e-10
Ge-75          7.6448e-23     1.0000e-99
Ge-76          2.5621e-10     1.9647e-10
Ge-77          4.5215e-23     1.0000e-99
Ge-78          9.1172e-40     1.0000e-99
As-69          1.3185e-99     1.0000e-99
As-70          1.3185e-99     1.0000e-99
As-71          6.2819e-37     1.0000e-99
As-72          1.3185e-99     1.0000e-99
As-73          7.8503e-37     1.0000e-99
