# Battino yields
# Model: m2z2m3
# Set: set1.01
# Mini: 2.00
# Mfinal: 0.6365114064713441
# Created by Daniel Boyea on 2024-12-04
isotope       mass_yield     X0      
Neutron-1      1.2190e-28     1.0000e-99
H-1            4.7120e-01     7.4707e-01
H-2            1.8600e-06     1.4493e-05
He-3           1.5214e-04     4.1644e-05
He-4           2.1657e-01     2.5087e-01
Be-7           1.5526e-07     1.0000e-99
B-8            1.8092e-14     1.0000e-99
Li-7           1.7405e-10     7.7736e-10
C-11           6.7681e-19     1.0000e-99
B-11           4.2246e-11     5.7169e-11
C-12           2.2695e-02     2.5006e-04
C-13           1.9727e-03     8.3197e-07
N-13           1.4850e-08     1.0000e-99
N-14           1.2980e-03     2.1195e-05
C-14           7.7142e-08     1.0000e-99
N-15           1.7681e-07     8.3489e-08
O-16           2.1012e-02     1.4818e-03
O-17           1.1630e-05     7.6330e-08
O-18           7.2453e-07     4.3460e-07
F-17           2.8510e-12     1.0000e-99
F-18           5.5068e-12     1.0000e-99
F-19           4.7131e-06     1.1232e-08
Ne-20          1.4339e-04     1.1507e-04
Ne-21          9.4607e-07     9.1588e-08
Ne-22          3.6804e-03     2.9431e-06
Na-22          1.6233e-07     1.0000e-99
Na-23          9.0000e-05     8.0063e-07
Mg-23          6.6987e-18     1.0000e-99
Mg-24          2.9011e-05     3.0234e-05
Mg-25          8.8675e-06     1.5480e-06
Mg-26          1.4369e-05     1.7712e-06
Al-26          1.5641e-08     1.0000e-99
Al-27          1.0473e-06     1.2974e-06
Si-27          2.4590e-21     1.0000e-99
Si-28          2.2276e-05     3.0250e-05
Si-29          6.3657e-07     7.8459e-07
Si-30          6.0326e-07     5.3504e-07
P-31           1.6992e-07     1.4225e-07
S-31           7.3896e-100     1.0000e-99
Be-8           7.3896e-100     1.0000e-99
O-14           2.9945e-15     1.0000e-99
O-15           5.1185e-12     1.0000e-99
Na-21          3.6663e-17     1.0000e-99
Al-25          1.9600e-17     1.0000e-99
P-29           1.5281e-24     1.0000e-99
P-30           1.5063e-20     1.0000e-99
Pb-206         8.3154e-09     5.6005e-11
Pb-207         9.7832e-09     6.1849e-11
Bi-211         1.5419e-27     1.0000e-99
Po-210         7.3896e-100     1.0000e-99
F-20           7.5957e-25     1.0000e-99
Ne-19          4.2903e-20     1.0000e-99
Na-24          1.8424e-16     1.0000e-99
Mg-27          3.5650e-24     1.0000e-99
Mg-28          2.6754e-29     1.0000e-99
Al-28          1.2291e-24     1.0000e-99
Al-29          2.2577e-35     1.0000e-99
Si-31          1.0763e-20     1.0000e-99
Si-32          2.7061e-14     1.0000e-99
P-32           7.9822e-18     1.0000e-99
P-33           1.2957e-19     1.0000e-99
P-34           1.7627e-99     1.0000e-99
P-35           7.3896e-100     1.0000e-99
S-32           1.5906e-05     2.1860e-05
S-33           7.3115e-08     6.5355e-08
S-34           3.1260e-07     3.7842e-07
S-35           6.7739e-18     1.0000e-99
S-36           4.7724e-09     1.6160e-09
S-37           1.5398e-27     1.0000e-99
S-38           7.4163e-100     1.0000e-99
Cl-34          8.9096e-25     1.0000e-99
Cl-35          9.7276e-08     1.3654e-07
Cl-36          6.7388e-10     1.0000e-99
Cl-37          9.1487e-08     4.6157e-08
Cl-38          3.2999e-23     1.0000e-99
Cl-39          9.3419e-33     1.0000e-99
Cl-40          7.3896e-100     1.0000e-99
Ar-35          7.3896e-100     1.0000e-99
Ar-36          2.3327e-06     3.2760e-06
Ar-37          1.9447e-13     1.0000e-99
Ar-38          2.6506e-07     3.1511e-07
Ar-39          5.3027e-11     1.0000e-99
Ar-40          2.0593e-09     5.3052e-10
Ar-41          1.2709e-23     1.0000e-99
Ar-42          4.1704e-19     1.0000e-99
Ar-43          7.6720e-100     1.0000e-99
Ar-44          7.3896e-100     1.0000e-99
K-38           2.1972e-28     1.0000e-99
K-39           6.1997e-08     7.8065e-08
